user_id,movie_id,movie_title,rank,score
$hubes,230,The Wrong Paris,1,0.914
$hubes,2155,Peaky Blinders: The Immortal Man,2,0.896
$hubes,225,Sketch,3,0.859
$hubes,2434,The Pickup,4,0.845
$hubes,2464,Bride Hard,5,0.791
$hubes,2395,Pretty Lethal,6,0.781
$hubes,2512,King Ivory,7,0.78
$hubes,15,A Big Bold Beautiful Journey,8,0.77
$hubes,21,Icefall,9,0.768
$hubes,2034,Shadow Force,10,0.735
(not) mAk1ko,1013,Tornado,1,1.0
(not) mAk1ko,2039,The Power of the Dog,2,0.966
(not) mAk1ko,1890,Creed II,3,0.966
(not) mAk1ko,2129,Creed III,4,0.966
(not) mAk1ko,1021,Broke,5,0.966
(not) mAk1ko,1179,WWE Evolution 2025,6,0.966
(not) mAk1ko,551,WWE Evolution 2025,7,0.966
(not) mAk1ko,492,WWE Backlash 2025,8,0.966
(not) mAk1ko,2163,Broke,9,0.966
(not) mAk1ko,2592,Rush,10,0.966
+schmoogie,2406,Relay,1,1.0
+schmoogie,281,Redux Redux,2,0.911
+schmoogie,227,Year 10,3,0.877
+schmoogie,136,Dangerous Animals,4,0.871
+schmoogie,14,Together,5,0.855
+schmoogie,2582,Whistle,6,0.837
+schmoogie,2348,Bambi: The Reckoning,7,0.835
+schmoogie,15,A Big Bold Beautiful Journey,8,0.831
+schmoogie,810,The Rats: A Witcher Tale,9,0.799
+schmoogie,198,Altered,10,0.791
-LBJ-,321,Reminders of Him,1,1.0
-LBJ-,217,Love Me Love Me,2,1.0
-LBJ-,880,Two for Tee,3,1.0
-LBJ-,1222,Love Me Love Me,4,1.0
-LBJ-,630,Montana Mavericks,5,1.0
-LBJ-,369,Materialists,6,1.0
-LBJ-,1003,Before We Forget,7,1.0
-LBJ-,665,ROH/CMLL Global Wars Mexico,8,1.0
-LBJ-,2490,Materialists,9,1.0
-LBJ-,2563,Before We Forget,10,1.0
.,1943,What We Left Behind: Looking Back at Star Trek: Deep Space Nine,1,1.0
.,1886,Street Gang: How We Got to Sesame Street,2,1.0
.,1654,Hot Girls Wanted,3,1.0
.,1657,All Things Must Pass,4,1.0
.,2387,Citizen Sleuth,5,1.0
.,259,The White House Effect,6,1.0
.,1235,Pride vs. Prejudice: The Delwin Vriend Story,7,1.0
.,1210,The Devil Is Busy,8,1.0
.,1149,The White House Effect,9,1.0
.,2247,To the Journey: Looking Back at Star Trek: Voyager,10,1.0
02ed4d803049e3e76f12c7b9a60248f2,1063,Shell,1,1.0
02ed4d803049e3e76f12c7b9a60248f2,2067,Shell,2,1.0
02ed4d803049e3e76f12c7b9a60248f2,1030,The Well,3,1.0
02ed4d803049e3e76f12c7b9a60248f2,2600,The Well,4,1.0
02ed4d803049e3e76f12c7b9a60248f2,1011,The Well,5,1.0
02ed4d803049e3e76f12c7b9a60248f2,2564,The Dutchman,6,1.0
02ed4d803049e3e76f12c7b9a60248f2,2418,Echo Valley,7,1.0
02ed4d803049e3e76f12c7b9a60248f2,1323,Discreet,8,1.0
02ed4d803049e3e76f12c7b9a60248f2,127,Eden,9,1.0
02ed4d803049e3e76f12c7b9a60248f2,158,Dragonfly,10,1.0
0w2k4xa0,1920,The Super Mario Bros. Movie,1,1.0
0w2k4xa0,2465,Freakier Friday,2,0.999
0w2k4xa0,1136,Freakier Friday,3,0.999
0w2k4xa0,1931,Onward,4,0.999
0w2k4xa0,2089,IF,5,0.999
0w2k4xa0,2267,Wonka,6,0.999
0w2k4xa0,1669,Frozen II,7,0.999
0w2k4xa0,429,Paddington,8,0.997
0w2k4xa0,1832,Minions: The Rise of Gru,9,0.997
0w2k4xa0,1840,Trolls World Tour,10,0.996
20thCentury,341,The Prestige,1,1.0
20thCentury,2134,Contact,2,0.999
20thCentury,439,Descendent,3,0.976
20thCentury,2330,Cloud Atlas,4,0.97
20thCentury,1567,Ex Machina,5,0.97
20thCentury,140,To Kill a Wolf,6,0.97
20thCentury,98,In the Blink of an Eye,7,0.97
20thCentury,2321,In the Blink of an Eye,8,0.97
20thCentury,1600,War for the Planet of the Apes,9,0.97
20thCentury,1613,The Martian,10,0.97
34KLD,2455,In Your Dreams,1,1.0
34KLD,1161,The SpongeBob Movie: Search for SquarePants,2,1.0
