index,split
0,train
1,train
2,train
3,test
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,test
12,test
13,train
14,test
15,train
16,train
17,train
18,test
19,train
20,train
21,train
22,train
23,train
24,test
25,train
26,train
27,test
28,train
29,train
30,train
31,train
32,test
33,test
34,train
35,test
36,train
37,train
38,train
39,train
40,test
41,train
42,train
43,train
44,test
45,train
46,train
47,test
48,train
49,train
50,train
51,train
52,train
53,test
54,train
55,train
56,train
57,test
58,train
59,val
60,train
61,train
62,train
63,train
64,train
65,train
66,val
67,val
68,train
69,train
70,val
71,train
72,train
73,test
74,test
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,test
84,train
85,train
86,train
87,train
88,test
89,train
90,train
91,test
92,test
93,train
94,test
95,train
96,test
97,train
98,train
99,test
100,train
101,train
102,train
103,train
104,val
105,test
106,val
107,train
108,train
109,train
110,val
111,train
112,train
113,test
114,train
115,test
116,train
117,train
118,train
119,train
120,train
121,val
122,train
123,train
124,test
125,test
126,train
127,train
128,train
129,train
130,train
131,test
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,test
140,test
141,test
142,train
143,test
144,train
145,train
146,train
147,test
148,val
149,val
150,test
151,val
152,train
153,train
154,train
155,test
156,train
157,test
158,train
159,train
160,val
161,train
162,train
163,train
164,train
165,train
166,test
167,train
168,train
169,test
170,train
171,train
172,train
173,train
174,train
175,test
176,train
177,test
178,test
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,train
195,train
196,train
197,train
198,val
199,train
200,train
201,test
202,test
203,train
204,train
205,train
206,test
207,train
208,train
209,train
210,val
211,test
212,train
213,test
214,train
215,train
216,train
217,test
218,train
219,train
220,test
221,train
222,val
223,test
224,train
225,train
226,train
227,train
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,test
238,test
239,train
240,train
241,train
242,val
243,val
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,test
253,train
254,train
255,val
256,val
257,train
258,train
259,val
260,train
261,test
262,train
263,test
264,train
265,train
266,test
267,test
268,train
269,train
270,train
271,train
