user_id,movie_id,movie_title,rating,genres_list
Andres Gomez,269149,Zootopia,9.0,"[""animation"", ""adventure"", ""family"", ""comedy""]"
whynotzoidberg,915617,The Phoenician Scheme,5.0,"[""comedy"", ""adventure"", ""crime""]"
SWITCH.,524047,Greenland,6.0,"[""action"", ""adventure"", ""thriller"", ""science fiction""]"
sauceopet,634649,Spider-Man: No Way Home,10.0,"[""action"", ""adventure"", ""science fiction""]"
Filipe Manuel Neto,2665,Airplane II: The Sequel,1.0,"[""comedy""]"
tmdb18359958,707,A View to a Kill,9.0,"[""adventure"", ""action"", ""thriller""]"
myke2145,686060,Hamnet,6.0,"[""drama"", ""romance"", ""history""]"
gamerdave69,1096228,Redux Redux,7.0,"[""thriller"", ""science fiction"", ""mystery""]"
BrianSanderson773,447273,Snow White,10.0,"[""family"", ""fantasy""]"
syn_user_00505,1079176,Sketch,7.0,"[""comedy"", ""fantasy"", ""adventure"", ""family""]"
syn_user_00481,965173,Worldbreaker,2.0,"[""science fiction"", ""action"", ""horror""]"
SWITCH.,615457,Nobody,6.0,"[""action"", ""thriller""]"
Jampomah,589385,Heads of State,8.0,"[""action"", ""thriller"", ""comedy""]"
paldrinc,1022725,Man on the Run,8.0,"[""documentary"", ""music""]"
Per Gunnar Jonsson,353081,Mission: Impossible - Fallout,7.0,"[""action"", ""adventure""]"
Xiofire,1023819,Oh. What. Fun.,3.0,"[""comedy"", ""holiday""]"
Farnsworth2,545111,Bugonia,6.0,"[""science fiction"", ""thriller"", ""comedy""]"
syn_user_00017,1026286,Lurker,10.0,"[""thriller"", ""drama""]"
WhyNotCallMeRo,832642,The Naked Gun,4.0,"[""comedy"", ""crime"", ""action""]"
syn_user_00783,889993,The Pickup,2.0,"[""comedy"", ""crime"", ""action""]"
syn_user_00914,1206868,A Memory Owed,6.0,"[""history"", ""drama"", ""war""]"
Chandler Danier,926393,The Equalizer 3,8.0,"[""action"", ""thriller"", ""crime""]"
syn_user_01243,950867,Before We Forget,8.0,"[""romance"", ""drama""]"
syn_user_00967,1074891,Lilith Fair: Building a Mystery,6.0,"[""documentary"", ""music""]"
Chandler Danier,609681,The Marvels,4.0,"[""science fiction"", ""adventure"", ""action""]"
The Movie Mob,520763,A Quiet Place Part II,8.0,"[""science fiction"", ""thriller"", ""horror""]"
GeekMasher,68726,Pacific Rim,9.0,"[""action"", ""science fiction"", ""adventure""]"
PenetratorGod,64690,Drive,6.0,"[""drama"", ""thriller"", ""crime""]"
cbrad0926,996831,Until Dawn,7.0,"[""horror"", ""mystery""]"
watson387,1105841,Stalkers,7.0,"[""horror"", ""thriller""]"
joy.perry,908389,The Surfer,7.0,"[""thriller"", ""drama""]"
Manuel São Bento,786892,Furiosa: A Mad Max Saga,7.0,"[""action"", ""science fiction"", ""adventure""]"
Torrentrayzoe,915211,Materialists,5.0,"[""romance"", ""drama""]"
CrazyJekyll,1127110,Diablo,7.0,"[""action"", ""thriller"", ""crime""]"
Tomizuka0829,873797,The Penguin Lessons,7.0,"[""drama""]"
Per Gunnar Jonsson,49049,Dredd,7.0,"[""action"", ""science fiction""]"
KornManiak23,1234169,Great White Waters,2.0,"[""action"", ""horror"", ""thriller""]"
Andre Gonzales,58,Pirates of the Caribbean: Dead Man's Chest,8.0,"[""adventure"", ""fantasy"", ""action""]"
