user_idx,movie_idx,rating,user_id,movie_title,year_scaled,genre_count_scaled,primary_genre_encoded,genre_count,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_game_show,genre_history,genre_holiday,genre_horror,genre_music,genre_musical,genre_mystery,genre_romance,genre_science_fiction,genre_superhero,genre_suspense,genre_thriller,genre_tv_movie,genre_war,genre_western
62,1575,9.0,Andres Gomez,Zootopia,0.8989898989898997,0.5,2,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3462,2491,5.0,whynotzoidberg,The Phoenician Scheme,0.9898989898989896,0.3333333333333333,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,1947,6.0,SWITCH.,Greenland,0.9393939393939376,0.5,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1768,2083,10.0,sauceopet,Spider-Man: No Way Home,0.949494949494948,0.3333333333333333,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
329,1569,1.0,Filipe Manuel Neto,Airplane II: The Sequel,0.5555555555555536,0.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,2161,9.0,tmdb18359958,A View to a Kill,0.5858585858585847,0.3333333333333333,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1612,2135,6.0,myke2145,Hamnet,0.9898989898989896,0.3333333333333333,6,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1271,281,7.0,gamerdave69,Redux Redux,1.0,0.3333333333333333,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
143,1841,10.0,BrianSanderson773,Snow White,0.9898989898989896,0.1666666666666666,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,225,7.0,syn_user_00505,Sketch,0.9898989898989896,0.5,3,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2317,2588,2.0,syn_user_00481,Worldbreaker,0.9898989898989896,0.3333333333333333,16,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
760,2052,6.0,SWITCH.,Nobody,0.949494949494948,0.1666666666666666,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
432,2028,8.0,Jampomah,Heads of State,0.9898989898989896,0.3333333333333333,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1663,73,8.0,paldrinc,Man on the Run,1.0,0.1666666666666666,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
679,1705,7.0,Per Gunnar Jonsson,Mission: Impossible - Fallout,0.9191919191919168,0.1666666666666666,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,79,3.0,Xiofire,Oh. What. Fun.,0.9898989898989896,0.1666666666666666,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323,1972,6.0,Farnsworth2,Bugonia,0.9898989898989896,0.3333333333333333,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1853,84,10.0,syn_user_00017,Lurker,0.9898989898989896,0.1666666666666666,19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
961,2325,4.0,WhyNotCallMeRo,The Naked Gun,0.9898989898989896,0.3333333333333333,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2619,2434,2.0,syn_user_00783,The Pickup,0.9898989898989896,0.3333333333333333,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,565,6.0,syn_user_00914,A Memory Owed,0.9898989898989896,0.3333333333333333,10,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
170,2499,8.0,Chandler Danier,The Equalizer 3,0.9696969696969688,0.3333333333333333,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3079,2563,8.0,syn_user_01243,Before We Forget,0.9898989898989896,0.1666666666666666,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2803,210,6.0,syn_user_00967,Lilith Fair: Building a Mystery,0.9898989898989896,0.1666666666666666,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,2049,4.0,Chandler Danier,The Marvels,0.9696969696969688,0.3333333333333333,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
873,1942,8.0,The Movie Mob,A Quiet Place Part II,0.949494949494948,0.3333333333333333,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
350,2140,9.0,GeekMasher,Pacific Rim,0.8686868686868685,0.3333333333333333,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
677,2102,6.0,PenetratorGod,Drive,0.8484848484848477,0.3333333333333333,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1119,2669,7.0,cbrad0926,Until Dawn,0.9898989898989896,0.1666666666666666,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3451,296,7.0,watson387,Stalkers,0.9898989898989896,0.1666666666666666,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1437,2479,7.0,joy.perry,The Surfer,0.9898989898989896,0.1666666666666666,19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
545,2265,7.0,Manuel São Bento,Furiosa: A Mad Max Saga,0.9797979797979792,0.3333333333333333,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
901,2490,5.0,Torrentrayzoe,Materialists,0.9898989898989896,0.1666666666666666,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,351,7.0,CrazyJekyll,Diablo,0.9898989898989896,0.3333333333333333,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
898,2401,7.0,Tomizuka0829,The Penguin Lessons,0.9898989898989896,0.0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
