user_id,movie_id,movie_title,score,rank
(not) mAk1ko,1128212,The Last Rodeo,0.09,1
(not) mAk1ko,1103676,The Mastermind,0.08,2
(not) mAk1ko,1081550,"Sorry, Baby",0.08,3
(not) mAk1ko,912836,Marshmallow,0.08,4
(not) mAk1ko,1079176,Sketch,0.08,5
(not) mAk1ko,918266,Is This Thing On?,0.07,6
(not) mAk1ko,977463,Eleanor the Great,0.07,7
(not) mAk1ko,553090,Rust,0.07,8
(not) mAk1ko,701249,Peaky Blinders: The Immortal Man,0.07,9
(not) mAk1ko,1005440,A Big Bold Beautiful Journey,0.07,10
+schmoogie,1015572,Deathstalker,0.26,1
+schmoogie,1050424,Shelter,0.22,2
+schmoogie,1045938,Dangerous Animals,0.22,3
+schmoogie,1183117,EPiC: Elvis Presley in Concert,0.17,4
+schmoogie,874955,Relay,0.14,5
+schmoogie,467065,Long Distance,0.13,6
+schmoogie,1096228,Redux Redux,0.13,7
+schmoogie,912836,Marshmallow,0.13,8
+schmoogie,1065701,The Rip,0.11,9
+schmoogie,979223,Monster Island,0.11,10
-LBJ-,402431,Wicked,0.31,1
-LBJ-,701387,Bugonia,0.27,2
-LBJ-,1233413,Sinners,0.26,3
-LBJ-,1140498,Is This Thing On?,0.26,4
-LBJ-,1160360,If I Had Legs I'd Kick You,0.26,5
-LBJ-,1214931,Nuremberg,0.25,6
-LBJ-,1259102,Eternity,0.24,7
-LBJ-,1316092,"""Wuthering Heights""",0.24,8
-LBJ-,812583,Wake Up Dead Man: A Knives Out Mystery,0.23,9
-LBJ-,648878,Eddington,0.23,10
.,9502,Kung Fu Panda,0.0,1
.,269149,Zootopia,0.0,2
.,1084242,Zootopia 2,0.0,3
.,102899,Ant-Man,0.0,4
.,508947,Turning Red,0.0,5
.,1242898,Predator: Badlands,0.0,6
.,949,Heat,0.0,7
.,140300,Kung Fu Panda 3,0.0,8
.,38055,Megamind,0.0,9
.,1635,The Island,0.0,10
02ed4d803049e3e76f12c7b9a60248f2,1270365,The Muppet Show,0.13,1
02ed4d803049e3e76f12c7b9a60248f2,1226951,To Get Her,0.12,2
02ed4d803049e3e76f12c7b9a60248f2,1005421,Together,0.1,3
02ed4d803049e3e76f12c7b9a60248f2,1050424,Shelter,0.09,4
02ed4d803049e3e76f12c7b9a60248f2,1005440,A Big Bold Beautiful Journey,0.08,5
02ed4d803049e3e76f12c7b9a60248f2,1193274,Titanic: The Digital Resurrection,0.08,6
02ed4d803049e3e76f12c7b9a60248f2,1045938,Dangerous Animals,0.08,7
02ed4d803049e3e76f12c7b9a60248f2,638383,KPop Demon Hunters,0.08,8
02ed4d803049e3e76f12c7b9a60248f2,1065701,The Rip,0.07,9
02ed4d803049e3e76f12c7b9a60248f2,977350,Hallow Road,0.07,10
0w2k4xa0,1057839,GOAT,1.14,1
0w2k4xa0,763995,A Minecraft Movie,1.13,2
0w2k4xa0,1076539,I Swear,1.0,3
0w2k4xa0,540330,Cold Storage,0.75,4
0w2k4xa0,796977,The SpongeBob Movie: Search for SquarePants,0.71,5
0w2k4xa0,385396,TRON: Ares,0.58,6
0w2k4xa0,918266,Is This Thing On?,0.49,7
0w2k4xa0,992825,Five Nights at Freddy's 2,0.46,8
0w2k4xa0,1270365,The Muppet Show,0.41,9
0w2k4xa0,860421,Jay Kelly,0.4,10
34KLD,1076539,I Swear,0.55,1
34KLD,1057839,GOAT,0.49,2
34KLD,540330,Cold Storage,0.39,3
34KLD,763995,A Minecraft Movie,0.34,4
34KLD,796977,The SpongeBob Movie: Search for SquarePants,0.34,5
34KLD,918266,Is This Thing On?,0.24,6
34KLD,992825,Five Nights at Freddy's 2,0.22,7
34KLD,1085761,Hoppers,0.1,8
34KLD,871548,Pretty Lethal,0.09,9
34KLD,1270365,The Muppet Show,0.09,10
35antonio,1172905,AEW Dynasty 2025,0.3,1
35antonio,1217313,AEW All Out 2025,0.29,2
35antonio,1166945,WWE Clash in Paris 2025,0.28,3
35antonio,1252288,AEW Full Gear 2025,0.28,4
35antonio,1254723,AEW Worlds End 2025,0.27,5
35antonio,1045560,WrestleMania 41: Sunday,0.24,6
35antonio,1045559,WrestleMania 41: Saturday,0.23,7
35antonio,1186205,WWE Backlash 2025,0.2,8
35antonio,1258183,WWE Wrestlepalooza,0.2,9
35antonio,1202875,WWE Money in the Bank 2025,0.2,10
43543875,830830,In the Blink of an Eye,0.3,1
43543875,1354831,Louis Theroux: Inside the Manosphere,0.28,2
43543875,925930,Honey Don't!,0.26,3
43543875,1156005,Melania,0.26,4
43543875,907496,The Salt Path,0.24,5
43543875,1050875,Solo Mio,0.24,6
43543875,829742,What We Hide,0.23,7
43543875,1047409,Christy,0.22,8
43543875,1066508,My Oxford Year,0.22,9
43543875,1153578,The Death of Snow White,0.2,10
4EverFinalGirl,871499,Zootopia 2,0.0,1
4EverFinalGirl,646497,Wake Up Dead Man: A Knives Out Mystery,0.0,2
4EverFinalGirl,792648,HIM,0.0,3
4EverFinalGirl,977993,Fight or Flight,0.0,4
4EverFinalGirl,832642,The Naked Gun,0.0,5
4EverFinalGirl,873974,How to Train Your Dragon,0.0,6
4EverFinalGirl,1005401,Train Dreams,0.0,7
4EverFinalGirl,787126,Freaky Tales,0.0,8
4EverFinalGirl,1069638,Dolly,0.0,9
4EverFinalGirl,1261317,Andrew Santino: White Noise,0.0,10
5rJoud,361743,Top Gun: Maverick,0.45,1
5rJoud,348,Alien,0.42,2
5rJoud,8077,Alien³,0.37,3
5rJoud,593643,The Menu,0.34,4
5rJoud,324786,Hacksaw Ridge,0.31,5
5rJoud,679,Aliens,0.31,6
5rJoud,436270,Black Adam,0.3,7
5rJoud,78,Blade Runner,0.28,8
5rJoud,545611,Everything Everywhere All at Once,0.27,9
5rJoud,11,Star Wars,0.25,10
8ZN,830830,In the Blink of an Eye,0.87,1
8ZN,1354831,Louis Theroux: Inside the Manosphere,0.7,2
8ZN,1156005,Melania,0.63,3
8ZN,1047409,Christy,0.62,4
8ZN,907496,The Salt Path,0.6,5
8ZN,925930,Honey Don't!,0.58,6
8ZN,829742,What We Hide,0.57,7
8ZN,1050875,Solo Mio,0.51,8
8ZN,1153578,The Death of Snow White,0.46,9
8ZN,1006354,Z-O-M-B-I-E-S 4: Dawn of the Vampires,0.42,10
99jaani,574475,Final Destination Bloodlines,0.6,1
99jaani,1233413,Sinners,0.51,2
99jaani,945961,Alien: Romulus,0.41,3
99jaani,244786,Whiplash,0.41,4
99jaani,926393,The Equalizer 3,0.38,5
99jaani,639933,The Northman,0.33,6
99jaani,1265609,War Machine,0.3,7
99jaani,1078605,Weapons,0.29,8
99jaani,539972,Kraven the Hunter,0.29,9
99jaani,273481,Sicario,0.27,10
A Fan of Many Things,315635,Spider-Man: Homecoming,0.2,1
A Fan of Many Things,10439,Hocus Pocus,0.19,2
A Fan of Many Things,335983,Venom,0.19,3
A Fan of Many Things,11,Star Wars,0.19,4
A Fan of Many Things,9806,The Incredibles,0.19,5
A Fan of Many Things,260513,Incredibles 2,0.19,6
A Fan of Many Things,569094,Spider-Man: Across the Spider-Verse,0.18,7
A Fan of Many Things,216015,Fifty Shades of Grey,0.18,8
A Fan of Many Things,917496,Beetlejuice Beetlejuice,0.18,9
A Fan of Many Things,1891,The Empire Strikes Back,0.18,10
ABSTRACTlegend,1050424,Shelter,0.26,1
ABSTRACTlegend,874955,Relay,0.23,2
ABSTRACTlegend,998723,Anaconda,0.23,3
ABSTRACTlegend,1045938,Dangerous Animals,0.21,4
ABSTRACTlegend,977350,Hallow Road,0.17,5
ABSTRACTlegend,1226951,To Get Her,0.16,6
ABSTRACTlegend,967810,Send Help,0.15,7
ABSTRACTlegend,962950,Whistle,0.14,8
ABSTRACTlegend,1014382,Vicious,0.14,9
ABSTRACTlegend,1210299,Influencers,0.14,10
AJGibbs,315635,Spider-Man: Homecoming,0.08,1
AJGibbs,10439,Hocus Pocus,0.08,2
AJGibbs,335983,Venom,0.08,3
AJGibbs,11,Star Wars,0.08,4
AJGibbs,9806,The Incredibles,0.08,5
AJGibbs,260513,Incredibles 2,0.08,6
AJGibbs,569094,Spider-Man: Across the Spider-Verse,0.07,7
AJGibbs,216015,Fifty Shades of Grey,0.07,8
AJGibbs,917496,Beetlejuice Beetlejuice,0.07,9
AJGibbs,1891,The Empire Strikes Back,0.07,10
AP_CHIN,1018063,Plainclothes,0.74,1
AP_CHIN,854887,Frankenstein,0.66,2
AP_CHIN,1145888,The Perfect Neighbor,0.57,3
AP_CHIN,1005401,Train Dreams,0.56,4
AP_CHIN,1193274,Titanic: The Digital Resurrection,0.56,5
AP_CHIN,1167078,STRAW,0.53,6
AP_CHIN,1251092,All the Empty Rooms,0.52,7
AP_CHIN,638383,KPop Demon Hunters,0.48,8
AP_CHIN,1163238,Armed Only with a Camera: The Life and Death of Brent Renaud,0.47,9
AP_CHIN,1000306,The Lost Bus,0.46,10
ATrain0,599275,The Smashing Machine,0.43,1
ATrain0,1119747,Song Sung Blue,0.37,2
ATrain0,1027747,Ready or Not: Here I Come,0.37,3
ATrain0,1015572,Deathstalker,0.37,4
ATrain0,1059479,Blue Moon,0.35,5
ATrain0,787126,Freaky Tales,0.32,6
ATrain0,1093997,Splitsville,0.23,7
ATrain0,792648,HIM,0.21,8
ATrain0,1005401,Train Dreams,0.21,9
ATrain0,1183117,EPiC: Elvis Presley in Concert,0.2,10
Aaaidan,593643,The Menu,0.22,1
Aaaidan,361743,Top Gun: Maverick,0.16,2
Aaaidan,597,Titanic,0.14,3
Aaaidan,760104,X,0.1,4
Aaaidan,545611,Everything Everywhere All at Once,0.1,5
Aaaidan,558449,Gladiator II,0.1,6
Aaaidan,933260,The Substance,0.1,7
Aaaidan,950396,The Gorge,0.09,8
Aaaidan,615457,Nobody,0.09,9
Aaaidan,9552,The Exorcist,0.09,10
AblissMusic,948183,The Bad Guys 2,0.74,1
AblissMusic,1005789,Roofman,0.58,2
AblissMusic,897095,Good Fortune,0.58,3
AblissMusic,1010850,Playdate,0.53,4
AblissMusic,848797,One Battle After Another,0.48,5
AblissMusic,1270365,The Muppet Show,0.46,6
AblissMusic,831157,Die My Love,0.42,7
AblissMusic,392717,Ballerina,0.39,8
AblissMusic,1009138,Caught Stealing,0.39,9
AblissMusic,810123,Nobody 2,0.38,10
Acoucalancha,1015572,Deathstalker,0.62,1
Acoucalancha,1121768,V/H/S/Halloween,0.52,2
Acoucalancha,1088587,Bone Lake,0.51,3
